"date","open","high","low","close"
2018-03-27,8931,9177.01,8750.6,8955.09
2018-03-28,8955,9020,8330,8398.65
2018-03-29,8398.58,8987.97,8269,8930
2018-03-30,8931.7,8999.95,8379.23,8466.53
2018-03-31,8468.85,8669.85,8353.18,8405.88
2018-04-01,8400.5,8426.99,7730,7917.09
2018-04-02,7917.09,8150.17,7728,7873.99
2018-04-03,7865,8109,7500,7541.98
2018-04-04,7541.98,7587,6666.66,7222.25
2018-04-05,7222.29,7292.43,6600.1,6805.76
2018-04-06,6810,7223.36,6670,6713.81
2018-04-07,6713.81,7102.02,6430,7060.22
2018-04-08,7065.01,7447.99,6873.32,7395
2018-04-09,7396.94,7520,7223,7304.31
2018-04-10,7304.26,7338,6566.69,6792.52
2018-04-11,6792.49,6902,6529.68,6622.05
2018-04-12,6621.04,6888,6500,6864.08
2018-04-13,6864.08,7070,6760,6939
2018-04-14,6939,7165.21,6924.3,7125
2018-04-15,7129.79,7185,6611,6715.51
2018-04-16,6717.32,6890,6656,6846.89
2018-04-17,6846.89,6990,6743.2,6826.61
2018-04-18,6826.62,8195.84,6802.7,8093.01
2018-04-19,8100,8233.39,7768.47,8127.74
2018-04-20,8129.99,8175,7849.46,8074.99
2018-04-21,8074.91,8429.54,8000,8110
2018-04-22,8110.21,8172.76,7867,8138.45
2018-04-23,8143.72,8173.7,7825.4,8107.23
2018-04-24,8113.51,8290,7931.01,8166.97
2018-04-25,8166.97,8398,8143.02,8319.97
2018-04-26,8319.92,9035,8267.01,8874.88
2018-04-27,8874.87,8930,8565,8875
2018-04-28,8875,9020.67,8727.68,8942.39
2018-04-29,8942,9300,8800.6,9216
2018-04-30,9217.98,9759.82,9110,9416.39
2018-05-01,9415,9438.54,8660,8847.97
2018-05-02,8847.97,9307.48,8651.62,9240.97
2018-05-03,9240.97,9395,8870,9126.22
2018-05-04,9121.05,9570.51,9081.02,9443.2
2018-05-05,9443.2,9480,9163.74,9222.01
2018-05-06,9222.02,9369.18,8870,8973.71
2018-05-07,8980.98,9170.02,8800.49,9145
2018-05-08,9145,9315.68,9031,9249.86
2018-05-09,9249.43,9844,9170,9697.99
2018-05-10,9697.98,9889.45,9570.1,9811.84
2018-05-11,9810.7,10020,9576.41,9724
2018-05-12,9724.53,9724.53,9252,9324.25
2018-05-13,9319.99,9475.7,9181,9370
2018-05-14,9370,9414.4,8965,9033.12
2018-05-15,9032,9390,9026,9369
2018-05-16,9362.47,9395.12,8670.2,8723
2018-05-17,8710.34,8831,8153,8311
2018-05-18,8311,8646.88,8160,8459
2018-05-19,8458,8763.36,8277,8376.33
2018-05-20,8376.33,8879.99,8300,8745.9
2018-05-21,8745.45,8859.99,8083.01,8216.22
2018-05-22,8216.22,8464,8109.73,8239.5
2018-05-23,8246.72,8354,7911.9,8093.44
2018-05-24,8093.44,8273.21,8030,8158
2018-05-25,8155.85,8390.8,8130,8263.03
2018-05-26,8263.03,8609,8252.5,8540
2018-05-27,8540,8543.58,8251.23,8322
2018-05-28,8322.98,8325,7805,7838
2018-05-29,7838,7938.84,7425,7542.02
2018-05-30,7547.94,7649.55,7266.99,7420.43
2018-05-31,7419.67,7620,7308.15,7550
2018-06-01,7549.99,7620,7231.11,7314.66
2018-06-02,7314.61,7437,7159.1,7215
2018-06-03,7220.45,7300,7032.95,7154.01
2018-06-04,7155,7569,7094.7,7491.12
2018-06-05,7489.05,7600.18,7260.5,7558.98
2018-06-06,7555.55,7699,7420.23,7572.09
2018-06-07,7572.09,7685,7355.54,7641
2018-06-08,7641,7786.69,7590.67,7720
2018-06-09,7720,7776.25,7568,7597.7
2018-06-10,7597.7,7628.98,7367.83,7412.01
2018-06-11,7412.01,7690.52,7358,7619.15
2018-06-12,7619.15,7765,7467.05,7708.31
2018-06-13,7708.31,7742,7596,7627.88
2018-06-14,7627.88,7683.98,7531,7649.01
